GEOID,B15002e3-y,B15002e4-y,B15002e5-y,B15002e6-y,B15002e7-y,B15002e8-y,B15002e9-y,B15002e10-y,B15002e11-y,B15002e12-y,B15002e13-y,B15002e14-y,B15002e15-y,B15002e16-y,B15002e17-y,B15002e18-y,B15002e20-y,B15002e21-y,B15002e22-y,B15002e23-y,B15002e24-y,B15002e25-y,B15002e26-y,B15002e27-y,B15002e28-y,B15002e29-y,B15002e30-y,B15002e31-y,B15002e32-y,B15002e33-y,B15002e34-y,B15002e35-y
15000US060014001001,0,9,0,0,0,0,0,12,29,25,80,73,452,253,252,89,0,0,0,0,11,0,0,0,57,21,118,62,329,343,151,112
15000US060014002001,0,0,0,0,0,16,0,0,13,4,22,6,202,62,63,39,0,0,8,0,0,0,0,0,11,0,29,22,157,118,47,24
15000US060014002002,0,0,0,6,0,0,0,0,37,14,48,0,50,122,29,7,0,0,0,0,0,0,0,0,16,6,23,0,148,174,22,14
15000US060014003001,0,0,0,0,0,0,0,0,28,0,0,0,214,119,83,57,0,0,0,0,0,0,0,0,14,0,28,21,215,118,27,49
15000US060014003002,14,0,0,47,0,0,0,0,12,32,43,12,185,193,14,7,0,0,0,0,0,0,0,0,95,0,21,30,214,151,40,7
15000US060014003003,0,0,17,0,0,0,13,0,89,0,101,0,70,46,12,11,0,0,0,0,0,0,0,0,215,0,43,17,107,53,25,0
15000US060014003004,0,0,0,0,0,0,0,0,8,43,64,25,123,110,27,34,0,22,0,53,0,0,0,0,59,52,27,62,204,200,56,46
15000US060014004001,0,0,0,0,6,0,0,0,21,0,0,0,204,67,87,72,0,0,0,0,0,6,0,0,16,11,41,11,248,245,84,56
15000US060014004002,22,0,0,0,12,0,0,0,47,15,109,33,152,36,12,17,8,0,0,0,10,0,0,25,0,7,29,20,179,127,71,10
15000US060014004003,0,0,0,25,0,0,0,21,44,12,58,0,167,166,22,75,0,0,0,21,0,3,0,34,55,7,52,10,173,162,18,62
15000US060014005001,0,0,0,0,0,0,0,0,240,56,115,38,369,130,25,43,6,26,0,8,0,0,0,0,15,36,104,104,417,196,105,10
15000US060014005002,0,0,0,11,0,8,0,0,11,12,15,9,22,40,9,9,0,0,0,0,0,0,0,0,42,8,123,30,102,75,7,19
15000US060014005003,0,0,0,8,0,0,0,0,0,0,8,0,88,20,0,0,0,0,0,0,14,0,0,7,7,0,39,21,55,67,7,7
15000US060014006001,0,0,0,5,0,0,0,0,63,12,40,41,132,42,3,27,15,0,0,0,0,0,0,4,64,19,16,21,125,97,28,39
15000US060014006002,3,0,2,6,3,0,0,12,17,5,42,26,51,19,6,9,0,0,0,0,0,0,0,0,6,19,20,30,99,54,7,4
15000US060014007001,0,0,0,0,30,0,0,0,33,26,120,29,51,15,4,12,0,8,23,0,28,15,6,0,79,0,134,20,137,60,0,14
15000US060014007002,4,0,19,0,0,0,2,7,220,30,117,65,143,38,0,0,46,0,0,0,0,0,0,11,65,60,96,24,94,70,20,0
15000US060014007003,0,54,59,0,9,0,0,0,31,13,52,0,153,18,0,13,0,0,0,0,0,0,0,16,0,26,63,0,65,74,0,0
15000US060014007004,0,0,0,0,0,0,0,35,93,51,40,12,80,27,31,0,19,0,0,20,0,13,0,0,183,0,51,20,130,41,0,0
15000US060014008001,0,0,5,0,0,24,8,9,74,70,78,81,206,67,13,15,0,0,5,0,0,10,0,0,96,0,146,108,143,95,36,6
15000US060014008002,0,6,0,25,0,21,0,10,17,0,67,20,92,20,8,9,0,0,7,48,0,0,0,0,41,9,29,19,130,62,10,0
15000US060014008003,12,0,0,11,0,0,0,11,72,20,50,27,118,53,40,0,8,0,0,11,0,0,0,14,26,15,66,62,143,86,14,17
15000US060014009001,27,0,10,0,7,0,19,9,123,15,89,18,85,21,0,0,0,10,0,0,0,0,8,0,85,19,84,74,150,100,0,7
15000US060014009002,0,14,0,0,28,0,0,0,60,8,69,7,114,46,17,0,0,0,0,23,20,0,0,0,37,33,27,8,149,64,21,7
15000US060014010001,29,0,0,0,0,48,53,15,161,31,15,0,69,33,15,0,0,0,0,0,45,0,0,51,95,33,88,39,88,30,0,0
15000US060014010002,0,0,0,29,0,0,0,0,45,0,96,17,100,33,0,0,0,0,27,21,0,0,0,25,70,0,34,17,0,116,0,16
15000US060014010003,36,0,0,0,0,0,13,40,141,71,190,26,92,94,0,0,3,0,0,16,0,0,3,0,107,36,54,38,134,103,11,8
15000US060014010004,0,0,0,0,0,0,0,0,46,0,32,33,108,12,0,14,21,0,0,0,0,16,0,0,56,0,48,0,43,43,0,4
15000US060014010005,0,5,0,0,0,14,0,24,105,0,67,23,86,55,0,0,19,0,0,0,0,0,0,0,81,23,18,10,14,10,14,0
15000US060014010006,0,0,0,0,0,0,47,0,0,0,73,45,103,53,14,0,0,0,0,0,0,0,0,0,14,20,184,0,40,21,6,0
15000US060014011001,0,0,0,0,0,0,0,0,9,0,33,26,85,0,17,15,0,0,0,0,0,0,0,0,0,24,28,0,68,99,25,0
15000US060014011002,0,0,0,0,0,0,0,0,94,16,58,30,283,112,13,0,0,0,0,0,0,0,0,0,61,0,29,13,244,225,66,19
15000US060014011003,0,0,0,0,0,0,0,0,60,43,95,34,193,46,0,0,29,0,0,0,0,0,0,0,121,27,97,60,66,42,29,23
15000US060014011004,0,0,0,0,0,0,0,57,33,0,42,15,284,18,0,0,11,0,0,0,2,4,19,2,67,40,84,4,152,21,14,19
15000US060014012001,5,0,7,0,8,0,0,0,0,8,99,15,139,31,8,8,0,0,0,10,0,0,0,15,17,5,40,77,262,75,40,9
