GEOID,UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Estimate),UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Margin of Error),UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Estimate),UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Margin of Error)
15000US060014001001,324.0,-1.0,144.0,-1.0
15000US060014002001,184.0,-1.0,78.0,-1.0
15000US060014002002,138.0,-1.0,66.0,-1.0
15000US060014003001,69.0,-1.0,29.0,-1.0
15000US060014003002,89.0,-1.0,42.0,-1.0
15000US060014003003,53.0,-1.0,30.0,-1.0
15000US060014003004,91.0,-1.0,43.0,-1.0
15000US060014004001,128.0,-1.0,68.0,-1.0
15000US060014004002,100.0,-1.0,49.0,-1.0
15000US060014004003,131.0,-1.0,55.0,-1.0
15000US060014005001,203.0,-1.0,97.0,-1.0
15000US060014005002,57.0,-1.0,24.0,-1.0
15000US060014005003,53.0,-1.0,27.0,-1.0
15000US060014006001,136.0,-1.0,65.0,-1.0
15000US060014006002,89.0,-1.0,37.0,-1.0
15000US060014007001,104.0,-1.0,53.0,-1.0
15000US060014007002,122.0,-1.0,44.0,-1.0
15000US060014007003,59.0,-1.0,30.0,-1.0
15000US060014007004,78.0,-1.0,34.0,-1.0
15000US060014008001,103.0,-1.0,59.0,-1.0
15000US060014008002,66.0,-1.0,33.0,-1.0
15000US060014008003,96.0,-1.0,48.0,-1.0
15000US060014009001,113.0,-1.0,57.0,-1.0
15000US060014009002,94.0,-1.0,53.0,-1.0
15000US060014010001,49.0,-1.0,20.0,-1.0
15000US060014010002,48.0,-1.0,20.0,-1.0
15000US060014010003,89.0,-1.0,34.0,-1.0
15000US060014010004,33.0,-1.0,14.0,-1.0
15000US060014010005,50.0,-1.0,20.0,-1.0
15000US060014010006,47.0,-1.0,28.0,-1.0
15000US060014011001,26.0,-1.0,14.0,-1.0
15000US060014011002,68.0,-1.0,46.0,-1.0
15000US060014011003,52.0,-1.0,23.0,-1.0
15000US060014011004,78.0,-1.0,24.0,-1.0
15000US060014012001,115.0,-1.0,52.0,-1.0
15000US060014012002,112.0,-1.0,47.0,-1.0
15000US060014012003,59.0,-1.0,33.0,-1.0
15000US060014013001,118.0,-1.0,49.0,-1.0
15000US060014013002,138.0,-1.0,62.0,-1.0
15000US060014013003,121.0,-1.0,53.0,-1.0
15000US060014014001,65.0,-1.0,31.0,-1.0
15000US060014014002,146.0,-1.0,67.0,-1.0
15000US060014014003,80.0,-1.0,31.0,-1.0
15000US060014015001,129.0,-1.0,71.0,-1.0
15000US060014015002,90.0,-1.0,47.0,-1.0
15000US060014015003,98.0,-1.0,43.0,-1.0
15000US060014016001,101.0,-1.0,46.0,-1.0
15000US060014016002,111.0,-1.0,54.0,-1.0
15000US060014017001,75.0,-1.0,35.0,-1.0
15000US060014017002,141.0,-1.0,70.0,-1.0
15000US060014017003,5.0,-1.0,0.0,-1.0
15000US060014018001,120.0,-1.0,40.0,-1.0
15000US060014018002,92.0,-1.0,45.0,-1.0
15000US060014022001,111.0,-1.0,48.0,-1.0
15000US060014022002,101.0,-1.0,39.0,-1.0
15000US060014022003,76.0,-1.0,34.0,-1.0
15000US060014024001,117.0,-1.0,52.0,-1.0
15000US060014024002,99.0,-1.0,40.0,-1.0
15000US060014025001,113.0,-1.0,51.0,-1.0
15000US060014025002,88.0,-1.0,39.0,-1.0
15000US060014026001,199.0,-1.0,109.0,-1.0
15000US060014027001,75.0,-1.0,35.0,-1.0
15000US060014027002,126.0,-1.0,55.0,-1.0
15000US060014028001,100.0,-1.0,71.0,-1.0
15000US060014028002,176.0,-1.0,111.0,-1.0
15000US060014029001,207.0,-1.0,133.0,-1.0
15000US060014030001,140.0,-1.0,88.0,-1.0
15000US060014030002,100.0,-1.0,43.0,-1.0
15000US060014031001,251.0,-1.0,100.0,-1.0
15000US060014033001,121.0,-1.0,72.0,-1.0
15000US060014033002,71.0,-1.0,32.0,-1.0
15000US060014034001,68.0,-1.0,45.0,-1.0
15000US060014034002,64.0,-1.0,45.0,-1.0
15000US060014034003,50.0,-1.0,39.0,-1.0
15000US060014034004,71.0,-1.0,42.0,-1.0
15000US060014035011,103.0,-1.0,71.0,-1.0
15000US060014035012,100.0,-1.0,54.0,-1.0
15000US060014035013,22.0,-1.0,15.0,-1.0
15000US060014035021,78.0,-1.0,48.0,-1.0
15000US060014035022,119.0,-1.0,64.0,-1.0
15000US060014036001,62.0,-1.0,27.0,-1.0
15000US060014036002,111.0,-1.0,51.0,-1.0
15000US060014036003,102.0,-1.0,58.0,-1.0
15000US060014037011,143.0,-1.0,79.0,-1.0
15000US060014037012,126.0,-1.0,86.0,-1.0
15000US060014037021,53.0,-1.0,30.0,-1.0
15000US060014037022,108.0,-1.0,68.0,-1.0
15000US060014038001,60.0,-1.0,26.0,-1.0
15000US060014038002,85.0,-1.0,51.0,-1.0
15000US060014038003,77.0,-1.0,40.0,-1.0
15000US060014038004,118.0,-1.0,64.0,-1.0
15000US060014039001,75.0,-1.0,45.0,-1.0
15000US060014039002,47.0,-1.0,23.0,-1.0
15000US060014039003,86.0,-1.0,47.0,-1.0
15000US060014040001,163.0,-1.0,99.0,-1.0
15000US060014040002,109.0,-1.0,61.0,-1.0
15000US060014041011,125.0,-1.0,68.0,-1.0
15000US060014041012,168.0,-1.0,101.0,-1.0
15000US060014041021,125.0,-1.0,89.0,-1.0
15000US060014041022,110.0,-1.0,59.0,-1.0
